case,play_id,song,start,end,source_start,tempo,treatment,e014_detected,diagnostic,windows,oracle_start_streak,oracle_hold_streak,oracle_start_checks,oracle_hold_checks,query_peaks,query_matched,reference_peaks,reference_matched,maximum_retrieval_confidence,retrieval_high_checks,retrieval_start_checks,retrieval_correct_trajectory_start_checks,active_failed_checks,pending_failed_checks,hash_query_hashes,hash_supported_raw,hash_supported_after_cap,hash_query_supported_fraction,hash_query_supported_fraction_after_cap,hash_reference_hashes,hash_reference_hashes_recovered,hash_reference_recovery_fraction,hash_query_anchors,hash_supported_anchors,hash_supported_anchors_after_cap
gain,clean-t12,t12,293.0,303.0,327.0252607709751,1.0,gain,True,detected,4,4,4,4,4,141,118,146,118,98.286938,12,11,4,0,1,5674,2562,2453,0.45153330983433204,0.4323228762777582,5661,2562,0.45257021727609964,172,144,144
gain,clean-t13,t13,319.0,329.0,150.3984580498866,1.0,gain,True,detected,4,4,4,4,4,178,145,177,145,98.168498,10,10,4,0,0,6916,3061,2724,0.4425968768074031,0.3938692886061307,6733,3061,0.4546264666567652,211,170,170
gain,clean-t14,t14,345.0,355.0,335.5096371882086,1.0,gain,True,detected,4,4,4,4,4,139,132,141,132,98.962117,12,12,4,0,0,5954,4369,4027,0.7337924084648976,0.6763520322472287,6099,4369,0.7163469421216593,172,162,162
gain,clean-t15,t15,371.0,381.0,27.396009070294784,1.0,gain,True,detected,4,4,4,4,4,118,97,114,97,98.058252,11,11,4,0,2,4613,2275,2171,0.4931714719271624,0.47062649035334925,4553,2275,0.499670546892159,148,124,124
gain,clean-t16,t16,397.0,407.0,48.45049886621315,1.0,gain,True,detected,4,4,4,4,4,148,131,151,131,98.638993,12,12,4,0,0,5287,3264,3070,0.617363344051447,0.5806695668621146,5232,3264,0.6238532110091743,179,158,158
gain,clean-t17,t17,423.0,433.0,72.70990929705215,1.0,gain,True,detected,4,4,4,4,4,168,149,158,149,98.940678,12,12,4,0,1,6093,4077,3728,0.6691285081240768,0.6118496635483341,5859,4077,0.695852534562212,198,176,176
gain,clean-t18,t18,449.0,459.0,290.65154195011337,1.0,gain,True,detected,4,4,4,4,4,169,169,169,169,99.296023,12,12,4,0,1,5928,5843,5719,0.9856612685560054,0.9647435897435898,5948,5843,0.9823470073974445,198,198,198
gain,clean-t19,t19,475.0,485.0,302.82251700680274,1.0,gain,True,detected,4,4,4,4,4,148,126,151,126,98.394219,5,5,4,0,2,6112,3224,2806,0.5274869109947644,0.45909685863874344,6280,3224,0.513375796178344,174,150,150
gain,clean-t20,t20,501.0,511.0,349.11548752834466,1.0,gain,True,detected,4,4,4,4,4,144,92,146,92,95.530726,9,9,4,0,0,5455,1016,955,0.18625114573785517,0.17506874427131072,5217,1016,0.19474793942879048,169,108,108
gain,clean-t21,t21,527.0,537.0,59.44179138321996,1.0,gain,True,detected,4,4,4,4,4,201,159,203,159,98.328458,12,11,4,0,0,7086,2954,2815,0.41687835167936776,0.39726220716906574,7147,2954,0.41332027424094026,243,195,195
gain,clean-t22,t22,553.0,563.0,214.78142857142856,1.0,gain,True,detected,4,4,4,4,4,134,105,133,105,97.895844,10,9,4,0,0,5492,2104,1916,0.38310269482884196,0.348871085214858,5324,2104,0.39519158527422993,155,121,121
noise_10db,clean-t01,t01,7.0,17.0,145.8395238095238,1.0,noise_10db,True,detected,4,4,4,4,4,86,56,98,56,88.023952,9,9,0,0,1,2746,321,168,0.11689730517115805,0.06117989803350328,3307,321,0.09706682794073178,102,61,49
noise_10db,clean-t02,t02,33.0,43.0,181.148231292517,1.0,noise_10db,True,detected,4,4,4,4,4,123,116,149,116,97.936017,12,12,4,0,0,4960,2386,2198,0.48104838709677417,0.44314516129032255,5810,2386,0.410671256454389,149,139,139
noise_10db,clean-t03,t03,59.0,69.0,377.43632653061223,1.0,noise_10db,True,detected,4,4,4,4,4,161,112,171,112,96.370236,12,12,4,0,0,5700,1234,1127,0.21649122807017543,0.19771929824561404,6118,1234,0.20169990192873488,193,132,132
noise_10db,clean-t04,t04,85.0,95.0,267.9507709750567,1.0,noise_10db,True,detected,4,4,4,4,4,90,82,100,82,98.046875,4,4,4,0,1,3895,2236,2010,0.5740693196405648,0.5160462130937099,4543,2236,0.49218578032137356,111,101,100
noise_10db,clean-t05,t05,111.0,121.0,27.81875283446712,1.0,noise_10db,True,detected,4,4,4,4,4,141,129,149,129,97.404283,11,11,4,0,1,4632,2321,1806,0.5010794473229706,0.3898963730569948,5077,2321,0.45715974000393933,162,146,146
noise_10db,clean-t06,t06,137.0,147.0,102.63619047619048,1.0,noise_10db,True,detected,4,4,4,4,4,116,91,138,91,97.227997,10,10,4,0,1,4679,1508,1490,0.3222910878392819,0.3184441119897414,5411,1508,0.2786915542413602,138,109,109
noise_10db,clean-t07,t07,163.0,173.0,245.48938775510203,1.0,noise_10db,True,detected,4,4,4,4,4,142,115,166,115,97.481108,10,10,4,0,1,5385,1965,1861,0.3649025069637883,0.3455896007428041,6222,1965,0.3158148505303761,167,135,135
noise_10db,clean-t08,t08,189.0,199.0,169.29913832199546,1.0,noise_10db,True,detected,4,4,4,4,4,113,101,120,101,98.345056,7,5,4,0,1,4915,2739,2702,0.5572736520854527,0.5497456765005087,5371,2739,0.5099609011357289,137,123,123
noise_10db,clean-t09,t09,215.0,225.0,85.31986394557823,1.0,noise_10db,True,detected,4,4,4,4,4,122,89,160,89,95.327103,8,5,4,0,0,4926,1012,986,0.2054405196914332,0.2001624035728786,6254,1012,0.1618164374800128,146,106,106
